respondent_id,persona_label,persona_id,A_city_tier,A_gender,A_age,A_education_level,A_stream,A_institution_type,A_family_income_band,A_family_income_score,B_prior_paid_course,B_prior_paid_score,B_exam_prep,B_acad_performance_score,B_acad_performance_label,B_self_learning_hrs,B_self_learning_score,C_career_clarity_stage,C_confusion_level_score,C_confusion_level_label,C_worry_frequency_score,C_worry_frequency_label,C_family_decision_authority,C_family_decision_score,C_trusted_info_source,C_prior_platform_use,C_biggest_challenge,C_emotional_pain_type,D_risk_tolerance,D_risk_tolerance_score,D_motivation_type,D_motivation_score,D_locus_of_control_score,D_locus_of_control_label,D_career_stage,E_career_domain_1,E_career_domain_2,E_career_domain_3,E_learning_preference,E_feat_career_match,E_feat_roadmap,E_feat_job_market,E_feat_chatbot,E_feat_college_rec,E_feat_mock_interview,E_feat_scholarship,E_feat_peer_bench,E_primary_device,E_language_preference,E_longitudinal_consent,F_wtp_monthly_band,F_wtp_score_continuous,F_pricing_model_pref,F_payment_trigger,F_will_pay_binary,F_will_use_platform,F_will_use_binary
R1160,Budget Conscious Learner,3,Tier 3,Male,14,Grade 8-10,Science,Online/Distance,Below Rs2L,1,Parents pay,2,Not sure,2,Below Average,3-5hrs,3,"Have interests, dont know career match",3,Medium,4,Often,Mostly me parents input,4,YouTube/Instagram,No didnt know,Family pressure,Execution gap,Stable job,1,Mostly financial,3,3,Balanced,Exploration,Technology,Science Research,Business,Watching videos,2,3,3,5,3,2.0,3,3.0,Smartphone iOS,Regional language,Yes,Up to Rs99,1.4,School pays,Free trial,1,No,0
R1161,Parent Driven Student,4,Tier 1,Male,20,Undergraduate,Science,Central School,Rs2L-Rs5L,2,Yes before,3,NEET,2,Below Average,1-3hrs,2,Parents decided - not sure its right,3,Medium,3,Sometimes,Mostly parents I follow,2,School counselor,No but looked,Job availability worry,Execution gap,Stable job,1,Mostly financial,3,3,Balanced,Decision Making,Medicine,Science Research,Design,Reading articles,3,3,3,3,5,2.0,4,4.0,Smartphone Android,English only,Yes,Rs100-Rs299,3.2,Annual plan,Affordable price,1,Yes,1
R1162,Confused Explorer,0,Tier 1,Male,20,Undergraduate,Commerce,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,None,3,Average,3-5hrs,3,No idea where to begin,4,High,3,Sometimes,Parents already decided,1,Parents/relatives,No but looked,Job availability worry,Lacks self-awareness,Depends on factors,2,Mostly financial,2,3,Balanced,Transition,Finance,Design,Media,Hands-on projects,4,2,3,4,4,3.0,2,4.0,Smartphone Android,English only,No,Free only,0.0,Free one-time report,Outcome data,0,Yes,1
R1163,Parent Driven Student,4,Tier 2,Female,19,Undergraduate,Arts,Government/Aided,Rs2L-Rs5L,2,Yes before,3,CUET,3,Average,1-3hrs,2,"Have interests, dont know career match",4,High,4,Often,Parents already decided,1,YouTube/Instagram,No didnt know,Lack of info new careers,Family conflict,High-risk reward,3,Balanced both,3,2,Mostly External,Exploration,Media,Defence,Design,Reading articles,4,3,3,2,4,2.0,5,3.0,Laptop/Desktop,Hindi,Yes,Rs100-Rs299,2.7,Monthly subscription,Outcome data,1,No,0
R1164,Budget Conscious Learner,3,Tier 2,Female,14,Grade 8-10,Arts,Government/Aided,Rs5L-Rs10L,3,No free only,1,None,1,Struggling,3-5hrs,3,On path but feel I chose wrongly,3,Medium,4,Often,Mostly parents I follow,2,Friends in career,No but looked,Too many options,Information gap,Stable job,1,Balanced both,3,4,Mostly Internal,Exploration,Media,Law,Design,Hands-on projects,4,5,4,4,3,2.0,5,4.0,Smartphone Android,English only,Yes,Rs100-Rs299,2.8,Completely free,Teacher recommendation,1,No,0
R1165,Career Switcher,2,Tier 2,Male,22,Undergraduate,Arts,Central School,Above Rs20L,5,Yes before,3,CAT/MBA,3,Average,3-5hrs,3,"Chosen path, need plan",3,Medium,3,Sometimes,I decide completely,5,Parents/relatives,Yes helpful,Family pressure,Execution gap,High-risk reward,3,Balanced both,3,5,Internal,Transition,Law,Sports,Defence,Watching videos,5,4,5,4,4,4.0,4,4.0,Laptop/Desktop,English Hindi mix,Yes,Rs1000+,8.8,School pays,Friend recommendation,1,Yes,1
R1166,Parent Driven Student,4,Tier 2,Male,18,Grade 11-12,Science,Private,Rs10L-Rs20L,4,No free only,1,NEET,4,Good,1-3hrs,2,"Chosen path, need plan",2,Low,5,Almost Every Day,Parents already decided,1,Parents/relatives,No didnt know,Lack of info new careers,Execution gap,High-risk reward,3,Mostly personal growth,3,3,Balanced,Planning,Design,Law,Technology,Watching videos,3,5,3,3,2,4.0,4,3.0,Smartphone Android,Hindi,Yes,Rs100-Rs299,7.3329399613657955,Monthly subscription,School subscribed,0,No,0
R1167,Career Switcher,2,Tier 1,Female,18,Undergraduate,Arts,Private,Rs5L-Rs10L,3,No free only,1,CUET,4,Good,3-5hrs,3,On path but feel I chose wrongly,4,High,3,Sometimes,Mostly me parents input,4,YouTube/Instagram,Yes helpful,Family pressure,Information gap,Depends on factors,2,Balanced both,3,3,Balanced,Planning,Design,Media,Law,Watching videos,4,5,4,3,5,5.0,4,3.0,Laptop/Desktop,Regional language,Yes,Rs100-Rs299,2.9,Free one-time report,Outcome data,1,Yes,1
R1168,Budget Conscious Learner,3,Tier 2,Male,16,Grade 11-12,Science,Online/Distance,Rs2L-Rs5L,2,No free only,1,CAT/MBA,3,Average,3-5hrs,3,"Chosen path, need plan",3,Medium,3,Sometimes,Mostly parents I follow,2,Friends in career,No but looked,Job availability worry,Lacks self-awareness,Stable job,1,Balanced both,4,4,Mostly Internal,Exploration,Medicine,Business,Technology,Watching videos,5,4,5,5,3,4.0,4,3.0,Smartphone Android,Regional language,Yes,Rs100-Rs299,2.8,Completely free,Affordable price,1,Yes,1
R1169,Focused Achiever,1,Tier 1,Female,24,Postgraduate,Commerce,Central School,Rs5L-Rs10L,3,Yes before,3,CUET,4,Good,1-3hrs,2,"Chosen path, need plan",5,Medium,2,Rarely,I decide completely,5,School counselor,No but looked,Job availability worry,Financial anxiety,High-risk reward,3,Mostly financial,5,4,Mostly Internal,Execution,Defence,Technology,Teaching,Hands-on projects,5,5,4,4,4,5.0,2,3.0,Smartphone Android,English only,Yes,Up to Rs99,1.4,Monthly subscription,School subscribed,1,Yes,1
R1170,Focused Achiever,1,Tier 3,Male,21,Undergraduate,Vocational/Other,Private,Rs10L-Rs20L,4,Parents pay,2,JEE,5,Excellent,3-5hrs,3,"Have interests, dont know career match",3,Medium,1,Never,I decide completely,5,YouTube/Instagram,Yes not helpful enough,Lack of info new careers,Overwhelmed by options,Stable job,1,Mostly financial,2,5,Internal,Planning,Teaching,Business,Technology,Watching videos,5,4,4,4,4,4.0,2,3.0,Laptop/Desktop,English only,Yes,Up to Rs99,0.9,Completely free,Free trial,1,Yes,1
R1171,Budget Conscious Learner,3,Tier 2,Male,18,Grade 11-12,Science,Government/Aided,Below Rs2L,1,Parents pay,2,UPSC,2,Below Average,More than 10hrs,5,"Chosen path, need plan",2,Low,4,Often,Mostly me parents input,4,YouTube/Instagram,Yes not helpful enough,Wrong college choice,Financial anxiety,Stable job,1,Mostly personal growth,4,3,Balanced,Exploration,Technology,Business,Medicine,Hands-on projects,4,3,5,2,4,3.0,5,3.0,Smartphone Android,Hindi,Yes,Rs100-Rs299,2.8,Completely free,Affordable price,1,Yes,1
R1172,Confused Explorer,0,Tier 3,Female,21,Undergraduate,Commerce,Private,Rs2L-Rs5L,2,Parents pay,2,None,4,Good,Less than 1hr,1,"Know what I want, not how to get there",4,High,3,Sometimes,Mostly parents I follow,2,Parents/relatives,No didnt know,Lack of info new careers,Information gap,Depends on factors,2,Balanced both,3,3,Balanced,Decision Making,Business,Finance,Sports,Watching videos,3,3,3,3,3,3.0,4,4.0,Smartphone Android,English only,No,Rs100-Rs299,3.0,Completely free,Free trial,1,No,0
R1173,Focused Achiever,1,Tier 3,Male,18,Grade 11-12,Science,Private,Rs10L-Rs20L,4,Yes currently,4,CAT/MBA,5,Excellent,5-10hrs,4,"Chosen path, need plan",2,Low,2,Rarely,Equal joint decision,3,Parents/relatives,Yes helpful,Dont know strengths,Information gap,High-risk reward,3,Mostly personal growth,4,4,Mostly Internal,Execution,Technology,Science Research,Business,Watching videos,5,5,2,3,3,5.0,4,5.0,Smartphone Android,Hindi,No,Rs100-Rs299,3.3,School pays,Free trial,1,Yes,1
R1174,Budget Conscious Learner,3,Tier 3,Female,21,Undergraduate,Vocational/Other,Government/Aided,Rs5L-Rs10L,3,No free only,1,Design,3,Average,1-3hrs,2,"Have interests, dont know career match",4,High,3,Sometimes,Equal joint decision,3,Friends in career,No didnt know,Job availability worry,Financial anxiety,Stable job,1,Mostly financial,3,3,Balanced,Planning,Business,Sports,Media,Watching videos,3,5,2,3,4,4.0,4,2.0,Smartphone Android,Regional language,Yes,Up to Rs99,1.1,Monthly subscription,No trigger,1,Yes,1
R1175,Confused Explorer,0,Tier 1,Female,15,Grade 8-10,Arts,Private,Below Rs2L,1,No free only,1,Not sure,2,Below Average,1-3hrs,2,"Have interests, dont know career match",4,High,5,Almost Every Day,Equal joint decision,3,YouTube/Instagram,No but looked,Job availability worry,Lacks self-awareness,Stable job,1,Mostly financial,5,3,Balanced,Exploration,Science Research,Social Work,Media,Talking to mentor,3,4,3,4,5,2.0,4,3.0,Smartphone Android,Regional language,Yes,Free only,0.3,Completely free,Teacher recommendation,0,Yes,1
R1176,Budget Conscious Learner,3,Tier 3,Male,22,Postgraduate,Science,Private,Rs5L-Rs10L,3,Yes before,3,Design,2,Below Average,Less than 1hr,1,"Know what I want, not how to get there",3,Medium,4,Often,I decide completely,5,Parents/relatives,No but looked,Job availability worry,Lacks self-awareness,Stable job,1,Mostly financial,2,3,Balanced,Planning,Medicine,Science Research,Technology,Hands-on projects,4,5,4,3,5,5.0,4,4.0,Laptop/Desktop,Regional language,Yes,Rs100-Rs299,3.0,Free one-time report,Affordable price,1,Yes,1
R1177,Confused Explorer,0,Tier 2,Male,17,Grade 11-12,Science,Online/Distance,Rs2L-Rs5L,2,No free only,1,NEET,2,Below Average,1-3hrs,2,"Have interests, dont know career match",4,High,4,Often,Mostly parents I follow,2,Parents/relatives,No but looked,Dont know strengths,Family conflict,Stable job,1,Mostly personal growth,4,3,Balanced,Exploration,Business,Law,Medicine,Reading articles,2,4,2,4,2,3.0,5,3.0,Smartphone Android,English only,No,Up to Rs99,1.3,Free one-time report,Free trial,1,Yes,1
R1178,Parent Driven Student,4,Tier 3,Female,25,Postgraduate,Science,Central School,Rs5L-Rs10L,3,Parents pay,2,NEET,4,Good,1-3hrs,2,On path but feel I chose wrongly,3,Medium,2,Rarely,Parents already decided,1,Dont trust any,Yes not helpful enough,Family pressure,Family conflict,Stable job,1,Balanced both,3,3,Balanced,Decision Making,Technology,Law,Business,Hands-on projects,3,4,4,3,3,3.0,4,3.0,Smartphone iOS,Regional language,No,Free only,0.2,School pays,Affordable price,0,No,0
R1179,Career Switcher,2,Tier 2,Male,17,Grade 11-12,Commerce,Online/Distance,Rs2L-Rs5L,2,Yes before,3,None,3,Average,3-5hrs,3,"Have interests, dont know career match",4,High,3,Sometimes,Mostly parents I follow,2,Friends in career,Yes not helpful enough,Lack of info new careers,Execution gap,Depends on factors,2,Balanced both,3,3,Balanced,Transition,Finance,Business,Teaching,Watching videos,4,4,4,4,5,4.0,3,3.0,Smartphone Android,No preference,No,Rs300-Rs499,4.8,Annual plan,Free trial,1,Yes,1
R1180,Budget Conscious Learner,3,Tier 3,Female,17,Grade 11-12,Science,Government/Aided,Rs5L-Rs10L,3,Yes before,3,None,3,Average,1-3hrs,2,"Know what I want, not how to get there",3,Medium,3,Sometimes,Equal joint decision,3,YouTube/Instagram,No didnt know,No guidance,Execution gap,Stable job,1,Balanced both,1,3,Balanced,Planning,Media,Medicine,Science Research,Reading articles,2,3,4,3,4,2.0,5,4.0,Smartphone Android,Regional language,No,Up to Rs99,0.9,Completely free,Outcome data,1,Yes,1
R1181,Confused Explorer,0,Tier 2,Female,16,Grade 11-12,Commerce,Online/Distance,Rs2L-Rs5L,2,Yes currently,4,Design,2,Below Average,1-3hrs,2,On path but feel I chose wrongly,5,Very High,4,Often,Equal joint decision,3,YouTube/Instagram,No didnt know,Too many options,Overwhelmed by options,High-risk reward,3,Balanced both,2,3,Balanced,Exploration,Design,Finance,Teaching,Reading articles,5,4,5,2,4,4.0,5,4.0,Smartphone iOS,Regional language,No,Rs300-Rs499,4.9,Annual plan,No trigger,1,Yes,1
R1182,Career Switcher,2,Tier 2,Male,22,Undergraduate,Science,Central School,Rs5L-Rs10L,3,Yes currently,4,None,3,Average,3-5hrs,3,On path but feel I chose wrongly,4,High,3,Sometimes,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Job availability worry,Information gap,Stable job,1,Mostly personal growth,3,5,Internal,Decision Making,Business,Medicine,Law,Talking to mentor,4,4,3,3,3,4.0,3,5.0,Smartphone Android,Hindi,Yes,Up to Rs99,1.1,Free one-time report,Teacher recommendation,1,Yes,1
R1183,Focused Achiever,1,Tier 1,Female,19,Undergraduate,Vocational/Other,Government/Aided,Rs10L-Rs20L,4,Yes currently,4,Not sure,5,Excellent,3-5hrs,3,On path but feel I chose wrongly,2,Low,3,Sometimes,I decide completely,5,Parents/relatives,Yes helpful,Job availability worry,Family conflict,Depends on factors,2,Balanced both,3,4,Mostly Internal,Execution,Technology,Sports,Media,Watching videos,5,5,5,5,5,4.0,4,4.0,Smartphone iOS,English only,No,Rs300-Rs499,4.8,Free one-time report,Friend recommendation,1,Yes,1
R1184,Budget Conscious Learner,3,Tier 2,Male,17,Grade 11-12,Arts,Private,Rs5L-Rs10L,3,Yes before,3,NDA,3,Average,1-3hrs,2,No idea where to begin,3,Medium,3,Sometimes,Parents already decided,1,YouTube/Instagram,No didnt know,Lack of info new careers,Financial anxiety,High-risk reward,3,Balanced both,2,3,Balanced,Exploration,Media,Medicine,Law,Watching videos,4,5,4,2,3,2.0,2,4.0,Smartphone Android,No preference,Yes,Up to Rs99,1.0,Completely free,No trigger,1,Yes,1
R1185,Parent Driven Student,4,Tier 2,Female,16,Grade 11-12,Arts,Government/Aided,Rs10L-Rs20L,4,Yes before,3,UPSC,4,Good,3-5hrs,3,"Know what I want, not how to get there",3,Medium,4,Often,Mostly parents I follow,2,Parents/relatives,No but looked,Wrong college choice,Family conflict,Stable job,1,Balanced both,4,3,Balanced,Decision Making,Science Research,Social Work,Law,Watching videos,5,4,2,3,4,4.0,4,4.0,Laptop/Desktop,English Hindi mix,No,Rs300-Rs499,5.4,School pays,Teacher recommendation,1,Yes,1
R1186,Career Switcher,2,Tier 2,Female,21,Undergraduate,Vocational/Other,Government/Aided,Rs5L-Rs10L,3,Yes currently,4,JEE,3,Average,3-5hrs,3,On path but feel I chose wrongly,3,Medium,5,Almost Every Day,I decide completely,5,Friends in career,Yes not helpful enough,Family pressure,Family conflict,Stable job,1,Balanced both,3,3,Balanced,Transition,Business,Technology,Medicine,Watching videos,4,4,4,4,4,4.0,3,2.0,Laptop/Desktop,English only,Yes,Rs500-Rs999,7.2,Monthly subscription,Friend recommendation,1,Yes,1
R1187,Budget Conscious Learner,3,Tier 2,Male,22,Undergraduate,Arts,Private,Rs2L-Rs5L,2,No free only,1,Not sure,2,Below Average,5-10hrs,4,"Know what I want, not how to get there",4,High,3,Sometimes,I decide completely,5,YouTube/Instagram,Yes not helpful enough,Dont know strengths,Financial anxiety,Stable job,1,Mostly financial,2,2,Mostly External,Exploration,Business,Media,Teaching,Watching videos,4,5,5,4,4,4.0,4,3.0,Shared family device,Hindi,Yes,Up to Rs99,1.0,Monthly subscription,School subscribed,1,Yes,1
R1188,Confused Explorer,0,Tier 3,Female,17,Grade 11-12,Science,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,None,2,Below Average,3-5hrs,3,No idea where to begin,4,High,3,Sometimes,Equal joint decision,3,Parents/relatives,No didnt know,Dont know strengths,Overwhelmed by options,High-risk reward,3,Mostly financial,3,2,Mostly External,Exploration,Design,Technology,Medicine,Watching videos,4,4,3,3,4,3.0,4,3.0,Smartphone Android,English Hindi mix,No,Free only,0.1,Completely free,Outcome data,0,Yes,1
R1189,Budget Conscious Learner,3,Tier 2,Male,13,Grade 8-10,Arts,Central School,Rs2L-Rs5L,2,No free only,1,None,4,Good,3-5hrs,3,Parents decided - not sure its right,3,Medium,2,Rarely,Mostly me parents input,4,Parents/relatives,No but looked,Too many options,Execution gap,Stable job,1,Balanced both,3,3,Balanced,Exploration,Defence,Law,Media,Watching videos,4,4,2,5,4,3.0,4,4.0,Smartphone Android,English only,Yes,Free only,0.0,Completely free,School subscribed,0,No,0
R1190,Budget Conscious Learner,3,Tier 2,Female,26,Postgraduate,Commerce,Government/Aided,Rs2L-Rs5L,2,No free only,1,UPSC,3,Average,Less than 1hr,1,On path but feel I chose wrongly,4,High,4,Often,Equal joint decision,3,YouTube/Instagram,Yes not helpful enough,Wrong college choice,Overwhelmed by options,Stable job,1,Mostly personal growth,2,2,Mostly External,Planning,Technology,Finance,Sports,Watching videos,5,5,3,3,5,4.0,5,4.0,Smartphone Android,Hindi,Yes,Up to Rs99,1.0,Monthly subscription,Free trial,1,Yes,1
R1191,Budget Conscious Learner,3,Tier 3,Male,15,Grade 8-10,Science,Government/Aided,Below Rs2L,1,Yes before,3,CLAT,5,Excellent,Less than 1hr,1,"Chosen path, need plan",2,Low,5,Almost Every Day,Mostly me parents input,4,Official websites,No but looked,No guidance,Financial anxiety,Depends on factors,2,Mostly financial,3,3,Balanced,Execution,Business,Technology,Medicine,Watching videos,5,3,3,4,3,3.0,4,3.0,Laptop/Desktop,English Hindi mix,Yes,Free only,0.0,Completely free,Affordable price,0,No,0
R1192,Budget Conscious Learner,3,Tier 3,Female,18,Undergraduate,Arts,Government/Aided,Below Rs2L,1,Yes before,3,CAT/MBA,3,Average,1-3hrs,2,No idea where to begin,3,Medium,3,Sometimes,Equal joint decision,3,YouTube/Instagram,No but looked,Wrong college choice,Overwhelmed by options,Depends on factors,2,Balanced both,4,4,Mostly Internal,Exploration,Media,Science Research,Law,Watching videos,4,5,4,4,3,4.0,4,3.0,Smartphone Android,English only,No,Rs500-Rs999,6.8,Completely free,Affordable price,1,Yes,1
R1193,Career Switcher,2,Tier 2,Male,18,Grade 11-12,Science,Government/Aided,Rs5L-Rs10L,3,No free only,1,CUET,4,Good,1-3hrs,2,"Chosen path, need plan",3,Medium,3,Sometimes,Mostly parents I follow,2,Friends in career,No but looked,Lack of info new careers,Lacks self-awareness,High-risk reward,3,Mostly financial,3,4,Mostly Internal,Planning,Medicine,Technology,Business,Watching videos,4,5,4,2,3,5.0,5,4.0,Smartphone Android,Regional language,No,Rs100-Rs299,2.9,Monthly subscription,Friend recommendation,1,Yes,1
R1194,Budget Conscious Learner,3,Tier 2,Female,26,Postgraduate,Commerce,Government/Aided,Rs2L-Rs5L,2,No free only,1,Not sure,2,Below Average,3-5hrs,3,"Chosen path, need plan",4,High,3,Sometimes,Mostly parents I follow,2,Parents/relatives,No but looked,Lack of info new careers,Lacks self-awareness,Depends on factors,2,Balanced both,3,3,Balanced,Decision Making,Business,Finance,Teaching,Live workshops,4,4,5,5,4,3.0,4,4.0,Laptop/Desktop,Regional language,Yes,Up to Rs99,0.8,School pays,Free trial,1,Yes,1
R1195,Budget Conscious Learner,3,Tier 3,Female,16,Grade 11-12,Arts,Government/Aided,Rs5L-Rs10L,3,No free only,1,None,3,Average,3-5hrs,3,"Have interests, dont know career match",3,Medium,4,Often,Mostly parents I follow,2,Parents/relatives,No didnt know,Dont know strengths,Financial anxiety,Stable job,1,Mostly financial,4,3,Balanced,Exploration,Defence,Business,Media,Quizzes interactive,3,3,3,4,5,3.0,5,4.0,Smartphone Android,Regional language,Yes,Up to Rs99,1.0,Completely free,Friend recommendation,1,Yes,1
R1196,Focused Achiever,1,Tier 1,Male,21,Undergraduate,Commerce,Private,Rs2L-Rs5L,2,Yes currently,4,JEE,3,Average,5-10hrs,4,"Chosen path, need plan",2,Low,2,Rarely,Equal joint decision,3,Career apps,Yes not helpful enough,Too many options,Execution gap,High-risk reward,3,Balanced both,5,5,Internal,Planning,Business,Finance,Technology,Hands-on projects,5,4,4,5,4,5.0,4,5.0,Smartphone Android,No preference,Yes,Rs300-Rs499,4.8,Free one-time report,Friend recommendation,1,Yes,1
R1197,Focused Achiever,1,Tier 3,Female,22,Undergraduate,Commerce,Private,Rs2L-Rs5L,2,Yes currently,4,None,5,Excellent,3-5hrs,3,On path but feel I chose wrongly,2,Low,1,Never,Mostly me parents input,4,Career apps,No but looked,Family pressure,Execution gap,Stable job,1,Mostly personal growth,3,5,Internal,Planning,Finance,Business,Law,Hands-on projects,5,4,5,2,3,5.0,4,4.0,Shared family device,English Hindi mix,Yes,Rs100-Rs299,3.3,Annual plan,Friend recommendation,1,No,0
R1198,Focused Achiever,1,Tier 2,Female,18,Undergraduate,Vocational/Other,Private,Below Rs2L,1,No free only,1,JEE,3,Average,1-3hrs,2,"Chosen path, need plan",1,Very Low,2,Rarely,I decide completely,5,Career apps,Yes not helpful enough,Dont know strengths,Family conflict,Depends on factors,2,Mostly personal growth,4,3,Balanced,Planning,Business,Teaching,Technology,Hands-on projects,5,5,4,5,4,4.0,2,3.0,Laptop/Desktop,English only,Yes,Rs300-Rs499,5.0,Monthly subscription,Friend recommendation,1,Yes,1
R1199,Budget Conscious Learner,3,Tier 1,Female,14,Grade 8-10,Commerce,Private,Below Rs2L,1,Yes before,3,CAT/MBA,4,Good,3-5hrs,3,"Know what I want, not how to get there",2,Low,2,Rarely,Equal joint decision,3,Career apps,No but looked,Job availability worry,Lacks self-awareness,High-risk reward,3,Mostly personal growth,3,3,Balanced,Decision Making,Business,Finance,Technology,Quizzes interactive,2,3,4,3,4,4.0,4,5.0,Laptop/Desktop,Hindi,No,Free only,0.0,Annual plan,Free trial,0,Yes,1
R1200,Career Switcher,2,Tier 3,Female,18,Undergraduate,Arts,Government/Aided,Above Rs20L,5,Parents pay,2,NEET,3,Average,More than 10hrs,5,On path but feel I chose wrongly,4,High,3,Sometimes,Equal joint decision,3,Career apps,No but looked,Dont know strengths,Family conflict,Stable job,1,Mostly personal growth,5,4,Mostly Internal,Planning,Law,Media,Defence,Watching videos,4,5,3,3,5,3.0,3,3.0,Laptop/Desktop,Regional language,Yes,Free only,0.2,Monthly subscription,Outcome data,0,Yes,1
R1201,Career Switcher,2,Tier 1,Female,18,Undergraduate,Vocational/Other,Government/Aided,Rs10L-Rs20L,4,No free only,1,Not sure,5,Excellent,1-3hrs,2,Parents decided - not sure its right,2,Low,3,Sometimes,Equal joint decision,3,Career apps,Yes not helpful enough,Wrong college choice,Overwhelmed by options,Stable job,1,Mostly personal growth,3,3,Balanced,Decision Making,Media,Design,Teaching,Hands-on projects,5,4,5,3,4,3.0,3,4.0,Laptop/Desktop,Regional language,No,Free only,0.0,Completely free,Teacher recommendation,0,No,0
R1202,Confused Explorer,0,Tier 2,Male,16,Grade 11-12,Commerce,Not enrolled,Rs5L-Rs10L,3,Yes before,3,UPSC,3,Average,1-3hrs,2,"Know what I want, not how to get there",5,Very High,5,Almost Every Day,Equal joint decision,3,Dont trust any,Yes helpful,Job availability worry,Lacks self-awareness,High-risk reward,3,Mostly financial,5,2,Mostly External,Decision Making,Design,Finance,Defence,Quizzes interactive,4,4,2,3,3,3.0,3,3.0,Smartphone Android,Hindi,Yes,Up to Rs99,0.7,Completely free,Outcome data,1,No,0
R1203,Career Switcher,2,Tier 3,Female,21,Undergraduate,Science,Online/Distance,Rs10L-Rs20L,4,Yes before,3,JEE,2,Below Average,3-5hrs,3,On path but feel I chose wrongly,3,Medium,5,Almost Every Day,Mostly me parents input,4,YouTube/Instagram,Yes not helpful enough,Family pressure,Family conflict,High-risk reward,3,Mostly financial,2,4,Mostly Internal,Exploration,Medicine,Teaching,Science Research,Hands-on projects,5,3,2,3,5,4.0,4,4.0,Smartphone Android,No preference,No,Up to Rs99,1.1,Pay per session,Friend recommendation,1,Yes,1
R1204,Confused Explorer,0,Tier 1,Female,14,Grade 8-10,Arts,Private,Rs5L-Rs10L,3,Yes currently,4,JEE,3,Average,5-10hrs,4,Parents decided - not sure its right,3,Medium,4,Often,Mostly parents I follow,2,Dont trust any,No but looked,Too many options,Lacks self-awareness,High-risk reward,3,Mostly personal growth,3,3,Balanced,Transition,Teaching,Media,Design,Talking to mentor,3,5,4,4,2,3.0,5,3.0,Smartphone Android,No preference,Yes,Rs100-Rs299,2.8,Completely free,Friend recommendation,1,Yes,1
R1205,Confused Explorer,0,Tier 2,Male,17,Grade 11-12,Arts,Government/Aided,Below Rs2L,1,No free only,1,None,3,Average,3-5hrs,3,No idea where to begin,4,High,5,Almost Every Day,Equal joint decision,3,School counselor,No but looked,Too many options,Execution gap,Stable job,1,Balanced both,4,1,External,Decision Making,Teaching,Science Research,Design,Watching videos,4,4,4,4,5,3.0,4,4.0,Smartphone Android,English Hindi mix,No,Free only,0.0,Monthly subscription,Affordable price,0,No,0
R1206,Parent Driven Student,4,Tier 3,Male,16,Grade 11-12,Arts,Online/Distance,Rs5L-Rs10L,3,Yes currently,4,None,4,Good,5-10hrs,4,"Chosen path, need plan",3,Medium,5,Almost Every Day,Mostly parents I follow,2,Parents/relatives,No didnt know,Dont know strengths,Family conflict,Depends on factors,2,Mostly personal growth,2,2,Mostly External,Transition,Business,Law,Defence,Live workshops,3,5,2,4,3,4.0,5,2.0,Laptop/Desktop,Regional language,No,Rs300-Rs499,5.0,School pays,Affordable price,1,Yes,1
R1207,Parent Driven Student,4,Tier 3,Male,18,Grade 11-12,Commerce,Private,Below Rs2L,1,Parents pay,2,CLAT,2,Below Average,5-10hrs,4,No idea where to begin,4,High,4,Often,Mostly parents I follow,2,Parents/relatives,No didnt know,Lack of info new careers,Family conflict,Stable job,1,Mostly financial,1,4,Mostly Internal,Exploration,Business,Finance,Teaching,Talking to mentor,3,5,3,3,3,3.0,5,3.0,Smartphone Android,English Hindi mix,Yes,Free only,0.0,School pays,Affordable price,0,Yes,1
R1208,Parent Driven Student,4,Tier 2,Male,17,Grade 11-12,Science,Government/Aided,Rs2L-Rs5L,2,No free only,1,CUET,3,Average,3-5hrs,3,Parents decided - not sure its right,4,High,3,Sometimes,Equal joint decision,3,School counselor,No didnt know,Dont know strengths,Family conflict,High-risk reward,3,Mostly financial,3,2,Mostly External,Exploration,Media,Technology,Business,Live workshops,4,5,2,4,4,4.0,5,4.0,Laptop/Desktop,English Hindi mix,No,Rs300-Rs499,5.4,Free one-time report,Free trial,1,Yes,1
R1209,Budget Conscious Learner,3,Tier 3,Female,13,Grade 8-10,Commerce,Online/Distance,Rs2L-Rs5L,2,Yes currently,4,NDA,2,Below Average,3-5hrs,3,"Have interests, dont know career match",3,Medium,5,Almost Every Day,Mostly parents I follow,2,Parents/relatives,No didnt know,Wrong college choice,Information gap,Stable job,1,Balanced both,2,3,Balanced,Decision Making,Business,Law,Finance,Quizzes interactive,4,4,3,4,4,3.0,5,4.0,Smartphone iOS,No preference,Yes,Up to Rs99,0.8,Completely free,Free trial,1,No,0
R1210,Confused Explorer,0,Tier 3,Other/Prefer not to say,18,Grade 11-12,Arts,Private,Below Rs2L,1,Parents pay,2,Not sure,3,Average,Less than 1hr,1,No idea where to begin,4,High,4,Often,Equal joint decision,3,YouTube/Instagram,No but looked,Dont know strengths,Execution gap,Stable job,1,Mostly personal growth,3,3,Balanced,Exploration,Finance,Sports,Social Work,Watching videos,1,3,3,5,2,3.0,4,3.0,Smartphone Android,Regional language,Yes,Rs100-Rs299,2.9,Free one-time report,Affordable price,1,Yes,1
